Stock,LIMIT_UP_PRICE,LIMIT_UP_TIME,BREAK_LIMIT_UP_TIME,Date,Ticker
000582.SZ,12.58,2022-04-13 09:25:00.000,2022-04-13 09:34:43.990,20220413,127039.SZ
002930.SZ,19.96,2022-04-13 09:56:28.900,2022-04-13 09:56:51.000,20220413,128121.SZ
002717.SZ,3.78,2022-04-14 09:43:24.890,2022-04-14 09:48:02.970,20220414,128044.SZ
002941.SZ,18.41,2022-04-14 13:18:17.620,2022-04-14 15:00:00.000,20220414,128132.SZ
300813.SZ,76.6,2022-04-14 11:01:29.810,2022-04-14 11:29:50.570,20220414,123135.SZ
002562.SZ,5.79,2022-04-15 13:40:26.200,2022-04-15 14:31:52.530,20220415,128021.SZ
002806.SZ,11.31,2022-04-15 09:30:43.040,2022-04-15 11:29:46.650,20220415,128082.SZ
002864.SZ,52.21,2022-04-15 11:11:57.360,2022-04-15 11:12:57.010,20220415,127057.SZ
000810.SZ,12.92,2022-04-18 10:09:09.030,2022-04-18 11:29:45.790,20220418,127013.SZ
002806.SZ,12.44,2022-04-18 09:25:00.000,2022-04-18 10:25:55.500,20220418,128082.SZ
000665.SZ,8.71,2022-04-19 14:45:36.410,2022-04-19 15:00:00.000,20220419,127007.SZ
002548.SZ,8.69,2022-04-19 10:28:29.100,2022-04-19 11:29:59.620,20220419,128036.SZ
002734.SZ,11.5,2022-04-19 10:21:30.020,2022-04-19 11:29:48.500,20220419,128144.SZ
002806.SZ,13.68,2022-04-19 09:30:00.160,2022-04-19 10:06:17.940,20220419,128082.SZ
002279.SZ,4.93,2022-04-20 09:25:00.000,2022-04-20 11:02:32.610,20220420,128015.SZ
002368.SZ,22.09,2022-04-20 09:30:47.080,2022-04-20 09:33:38.860,20220420,128078.SZ
002370.SZ,5.95,2022-04-20 09:35:53.280,2022-04-20 15:00:00.000,20220420,128062.SZ
002503.SZ,1.53,2022-04-20 09:31:33.410,2022-04-20 09:31:42.820,20220420,128100.SZ
002877.SZ,7.43,2022-04-20 09:46:01.910,2022-04-20 11:07:58.140,20220420,128070.SZ
002877.SZ,8.17,2022-04-21 10:33:55.700,2022-04-21 10:53:52.250,20220421,128070.SZ
300577.SZ,17.5,2022-04-22 13:16:36.980,2022-04-22 13:17:17.060,20220422,123039.SZ
000552.SZ,4.29,2022-04-25 09:25:00.000,2022-04-25 09:30:00.030,20220425,127027.SZ
002050.SZ,14.66,2022-04-26 13:32:19.640,2022-04-26 13:40:18.820,20220426,127036.SZ
300170.SZ,6.91,2022-04-26 09:34:12.220,2022-04-26 11:29:59.550,20220426,123077.SZ
000552.SZ,3.48,2022-04-27 13:11:15.540,2022-04-27 15:00:00.000,20220427,127027.SZ
000861.SZ,2.75,2022-04-27 14:44:03.840,2022-04-27 14:47:00.890,20220427,127003.SZ
002036.SZ,10.8,2022-04-27 13:06:33.240,2022-04-27 15:00:00.000,20220427,128101.SZ
002562.SZ,5.16,2022-04-27 14:41:53.710,2022-04-27 14:43:36.090,20220427,128021.SZ
002738.SZ,72.79,2022-04-27 13:08:24.300,2022-04-27 15:00:00.000,20220427,128111.SZ
002812.SZ,183.04,2022-04-27 13:16:24.440,2022-04-27 13:16:35.420,20220427,128095.SZ
300196.SZ,15.66,2022-04-27 10:59:24.640,2022-04-27 11:29:58.480,20220427,123091.SZ
300613.SZ,104.2,2022-04-27 13:44:51.900,2022-04-27 13:58:52.770,20220427,123122.SZ
300778.SZ,17.38,2022-04-27 09:31:56.410,2022-04-27 10:45:44.120,20220427,123136.SZ
300811.SZ,61.5,2022-04-27 14:09:21.050,2022-04-27 15:00:00.000,20220427,123139.SZ
002050.SZ,16.67,2022-04-28 14:42:31.860,2022-04-28 14:44:56.110,20220428,127036.SZ
002446.SZ,6.19,2022-04-28 10:26:03.230,2022-04-28 10:36:21.600,20220428,128041.SZ
002738.SZ,80.07,2022-04-28 10:14:42.520,2022-04-28 10:15:04.960,20220428,128111.SZ
002941.SZ,18.19,2022-04-28 14:14:53.500,2022-04-28 15:00:00.000,20220428,128132.SZ
000665.SZ,7.55,2022-04-29 10:10:25.870,2022-04-29 15:00:00.000,20220429,127007.SZ
002061.SZ,6.8,2022-04-29 10:08:55.560,2022-04-29 10:09:58.280,20220429,128107.SZ
002091.SZ,9.22,2022-04-29 09:39:48.250,2022-04-29 11:29:53.700,20220429,127040.SZ
002370.SZ,5.07,2022-04-29 10:02:44.440,2022-04-29 10:25:58.070,20220429,128062.SZ
002616.SZ,4.58,2022-04-29 14:18:01.400,2022-04-29 15:00:00.000,20220429,128105.SZ
002658.SZ,6.29,2022-04-29 09:30:00.790,2022-04-29 10:21:43.630,20220429,128033.SZ
002861.SZ,11.06,2022-04-29 13:26:47.460,2022-04-29 14:27:31.530,20220429,128118.SZ
002946.SZ,11.36,2022-04-29 13:08:18.660,2022-04-29 15:00:00.000,20220429,128142.SZ
000700.SZ,4.32,2022-05-05 09:30:38.460,2022-05-05 10:38:44.860,20220505,127004.SZ
002091.SZ,10.14,2022-05-05 11:25:25.490,2022-05-05 15:00:00.000,20220505,127040.SZ
002376.SZ,7.04,2022-05-05 14:34:04.890,2022-05-05 14:34:30.970,20220505,128083.SZ
002510.SZ,3.33,2022-05-05 09:25:00.000,2022-05-05 10:20:27.900,20220505,128090.SZ
002562.SZ,5.67,2022-05-05 10:20:35.940,2022-05-05 11:29:09.770,20220505,128021.SZ
002726.SZ,11.02,2022-05-05 09:46:27.280,2022-05-05 09:53:04.880,20220505,128119.SZ
002811.SZ,8.0,2022-05-05 14:54:34.130,2022-05-05 14:55:54.090,20220505,128066.SZ
002864.SZ,41.03,2022-05-05 14:50:05.550,2022-05-05 15:00:00.000,20220505,127057.SZ
002895.SZ,26.68,2022-05-05 13:00:19.320,2022-05-05 13:09:03.170,20220505,127043.SZ
002406.SZ,4.87,2022-05-06 11:03:35.120,2022-05-06 11:03:40.150,20220506,128075.SZ
002510.SZ,3.66,2022-05-06 09:25:00.000,2022-05-06 09:30:01.070,20220506,128090.SZ
002551.SZ,4.74,2022-05-06 13:40:16.410,2022-05-06 15:00:00.000,20220506,128053.SZ
002864.SZ,45.13,2022-05-06 14:38:03.990,2022-05-06 15:00:00.000,20220506,127057.SZ
002873.SZ,16.06,2022-05-06 14:20:56.780,2022-05-06 15:00:00.000,20220506,128091.SZ
002907.SZ,12.62,2022-05-06 14:41:02.580,2022-05-06 15:00:00.000,20220506,128069.SZ
002061.SZ,7.44,2022-05-09 13:54:25.260,2022-05-09 14:15:18.800,20220509,128107.SZ
002067.SZ,3.72,2022-05-09 09:38:18.550,2022-05-09 09:38:18.720,20220509,128130.SZ
002325.SZ,2.27,2022-05-09 13:17:36.590,2022-05-09 14:16:26.670,20220509,128013.SZ
002551.SZ,5.21,2022-05-09 09:25:00.000,2022-05-09 11:29:52.930,20220509,128053.SZ
002614.SZ,9.05,2022-05-09 09:57:12.300,2022-05-09 09:57:20.770,20220509,128097.SZ
002616.SZ,4.7,2022-05-09 13:10:12.880,2022-05-09 13:48:34.210,20220509,128105.SZ
002717.SZ,2.94,2022-05-09 09:41:06.950,2022-05-09 11:29:50.400,20220509,128044.SZ
002775.SZ,3.85,2022-05-09 09:45:29.980,2022-05-09 10:50:32.680,20220509,128127.SZ
002822.SZ,5.21,2022-05-09 10:02:31.860,2022-05-09 11:29:59.070,20220509,127033.SZ
300636.SZ,28.32,2022-05-09 09:35:17.090,2022-05-09 09:37:02.840,20220509,123073.SZ
002551.SZ,5.73,2022-05-10 09:41:35.320,2022-05-10 15:00:00.000,20220510,128053.SZ
002616.SZ,5.17,2022-05-10 10:54:03.790,2022-05-10 11:29:53.070,20220510,128105.SZ
002717.SZ,3.23,2022-05-10 13:54:43.480,2022-05-10 15:00:00.000,20220510,128044.SZ
002941.SZ,19.68,2022-05-10 13:26:53.460,2022-05-10 13:27:16.880,20220510,128132.SZ
300778.SZ,21.37,2022-05-10 13:32:40.840,2022-05-10 15:00:00.000,20220510,123136.SZ
000411.SZ,13.68,2022-05-11 14:23:43.460,2022-05-11 15:00:00.000,20220511,127028.SZ
000665.SZ,9.21,2022-05-11 11:08:23.850,2022-05-11 13:33:22.640,20220511,127007.SZ
002036.SZ,12.79,2022-05-11 13:25:35.720,2022-05-11 13:46:18.180,20220511,128101.SZ
002171.SZ,8.05,2022-05-11 11:26:06.040,2022-05-11 11:29:58.490,20220511,128109.SZ
002475.SZ,31.9,2022-05-11 13:17:38.170,2022-05-11 13:18:02.860,20220511,128136.SZ
002707.SZ,5.69,2022-05-11 09:32:37.160,2022-05-11 14:49:32.190,20220511,128022.SZ
002717.SZ,3.55,2022-05-11 09:31:21.640,2022-05-11 10:33:37.510,20220511,128044.SZ
002738.SZ,88.77,2022-05-11 13:49:46.190,2022-05-11 13:49:50.380,20220511,128111.SZ
002949.SZ,14.89,2022-05-11 09:32:13.920,2022-05-11 13:47:50.190,20220511,128125.SZ
